scope,industry,code,stock_name,indicator,required_or_optional,evidence_status,gap_type,freshness_limit_days,oldest_accepted_evidence_date,recommended_public_sources,template_status,note
industry,造纸,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,造纸,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,造纸,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,钢铁,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,钢铁,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,钢铁,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,银行,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,银行,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,银行,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
industry,锂电,,,碳酸锂价格,required,MISSING,missing_required,30,2026-06-07,上海有色网、公开报价,schema_supported,碳酸锂价格和库存状态
industry,锂电,,,动力电池装机,required,MISSING,missing_required,60,2026-05-08,中国汽车动力电池产业创新联盟,schema_supported,动力电池装机量
industry,锂电,,,新能源车销量,required,MISSING,missing_required,60,2026-05-08,中汽协、乘联会,schema_supported,新能源车销量和渗透率
industry,锂电,,,库存去化,optional,MISSING,missing_optional,90,2026-04-08,公开研究摘要,schema_supported,电池和材料环节库存变化
industry,锂电,,,产能利用率,optional,MISSING,missing_optional,90,2026-04-08,行业公开周报,schema_supported,电池和材料产能利用率
industry,食品饮料,,,周期价格或量价指标,required,MISSING,missing_required,60,2026-05-08,行业协会、政府公开数据、公开报价、上市公司公告,unsupported_template,行业关键产品价格、销量、订单或景气度的公开变化
industry,食品饮料,,,库存或产能状态,required,MISSING,missing_required,90,2026-04-08,公开行业周报、公司公告、交易所披露,unsupported_template,库存、产能利用率、供给纪律或出清进度
industry,食品饮料,,,利润或需求验证,optional,MISSING,missing_optional,90,2026-04-08,上市公司公告、交易所披露、政府公开数据,unsupported_template,价差、毛利、订单、终端需求或现金流改善
company,白酒,600519,贵州茅台,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,白酒,000858,五粮液,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,白酒,000568,泸州老窖,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,白酒,600809,山西汾酒,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,食品饮料,600887,伊利股份,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,食品饮料,603288,海天味业,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,证券,300059,东方财富,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,医药,300760,迈瑞医疗,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,医药,000661,长春高新,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,医药,600196,复星医药,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,医药,300015,爱尔眼科,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,公用事业,600905,三峡能源,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,公用事业,601985,中国核电,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,公用事业,600011,华能国际,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,公用事业,600027,华电国际,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,石油石化,600028,中国石化,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,化工,600309,万华化学,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,化工,600426,华鲁恒升,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,化工,002601,龙佰集团,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,化工,000830,鲁西化工,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,钢铁,600019,宝钢股份,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,钢铁,600010,包钢股份,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,光伏,601012,隆基绿能,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,光伏,002459,晶澳科技,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,光伏,600438,通威股份,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,光伏,688599,天合光能,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,锂电,002466,天齐锂业,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,汽车,002594,比亚迪,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,锂电,300014,亿纬锂能,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,锂电,002812,恩捷股份,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,汽车,601633,长城汽车,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,汽车,600104,上汽集团,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,汽车,600741,华域汽车,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,半导体,300782,卓胜微,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,UNRESOLVED,600703,三安光电,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,UNRESOLVED,002230,科大讯飞,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,UNRESOLVED,600570,恒生电子,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,UNRESOLVED,300454,深信服,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,家电,000651,格力电器,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,家电,600690,海尔智家,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,UNRESOLVED,002241,歌尔股份,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,UNRESOLVED,601668,中国建筑,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,UNRESOLVED,601186,中国铁建,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,UNRESOLVED,601390,中国中铁,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,地产,600048,保利发展,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,地产,000002,万科A,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,地产,001979,招商蛇口,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,航运,600018,上港集团,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,机场航空,600029,南方航空,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,机场航空,600009,上海机场,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,UNRESOLVED,601888,中国中免,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,物流,002352,顺丰控股,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,电力设备,600406,国电南瑞,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,电力设备,300124,汇川技术,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
company,电力设备,601877,正泰电器,company_cycle_evidence,required,MISSING,company_evidence_incomplete,180,2026-01-08,交易所公告; 公司公告; 定期报告,company_required,公司证据不足时不得进入 A 类候选。
